PrecinctKey,Votes for Carter,Votes for Clark,Total,Total Registered Voters,Turnout
270101,2951,712,3843,6249,0.614978397
270102,1409,366,1853,3072,0.603190104
270103,1720,630,2478,5086,0.487219819
270104,3538,801,4547,7050,0.644964539
270105,801,126,966,1597,0.604884158
270106,927,1444,2471,5875,0.420595745
270107,198,96,308,593,0.519392917
270108,798,124,962,1543,0.623460791
270109,525,600,1183,3119,0.379288233
270110,377,198,608,2826,0.215145081
270111,2035,874,3047,5520,0.551992754
270113,150,28,185,272,0.680147059
4910119,1211,932,2274,3683,0.617431442
4910122,1004,674,1804,2605,0.692514395
4910135,692,980,1787,3444,0.518873403
4910138,1510,1040,2694,4116,0.65451895
4910140,733,542,1368,1968,0.695121951
4910145,596,852,1548,3095,0.500161551
4910146,1102,1818,3118,5014,0.621858795
4910147,777,1118,2056,3432,0.599067599
4910149,575,638,1287,2300,0.559565217
4910150,550,702,1330,2733,0.486644713
4910151,670,858,1669,2682,0.622296793
4910152,509,853,1478,2932,0.504092769
4910160,1442,1332,2944,4604,0.639443962
4910162,613,1009,1737,2990,0.580936455
4910172,913,579,1571,2185,0.718993135
4910182,1843,850,2823,3844,0.734391259
4910185,422,599,1074,1660,0.646987952
4910186,816,883,1771,2691,0.658119658
4910189,907,928,1939,2824,0.686614731
4910190,1942,1254,3388,4714,0.718710225
4910197,958,832,1873,2690,0.696282528
4910198,1413,1165,2719,4002,0.679410295
270201,1023,752,1847,4094,0.451148021
4910201,2241,1656,4090,5820,0.702749141
270202,2193,958,3317,6373,0.520477012
4910202,,,,,#DIV/0!
270203,3595,708,4491,6285,0.714558473
4910204,1957,1368,3550,5271,0.67349649
270204,562,526,1134,3000,0.378
270205,850,1334,2258,5573,0.405167773
4910206,1460,343,1911,2948,0.648236092
270206,387,532,956,1986,0.481369587
4910207,2570,637,3377,5027,0.671772429
270207,669,873,1623,3966,0.409228442
270208,1336,1863,3342,7044,0.474446337
270209,2264,1656,4088,7552,0.541313559
270210,1316,1359,2796,5213,0.536351429
4910216,896,640,1652,2507,0.658954926
4910218,888,1007,2035,3209,0.634153942
4910253,2255,1190,3680,5819,0.632411067
4910254,1190,791,2133,3521,0.605793809
4910259,2088,1274,3615,5711,0.632988969
4910263,,,,,#DIV/0!
4910264,1626,884,2675,4392,0.609061931
4910266,1207,1105,2455,4026,0.609786388
4910267,1104,458,1692,2525,0.67009901
4910273,814,753,1696,2560,0.6625
4910274,1121,1458,2753,4595,0.599129489
4910275,682,985,1777,3106,0.57211848
4910277,2045,1268,3504,5050,0.693861386
4910278,1853,1463,3584,5570,0.643447038
4910283,1544,1121,2856,4779,0.597614564
4910287,1786,1199,3177,4976,0.63846463
270301,1757,262,2101,3552,0.591497748
270302,1455,717,2269,4187,0.541915453
270303,1505,967,2587,4895,0.528498468
270304,338,108,462,771,0.59922179
4910305,1536,409,2030,2741,0.740605618
270305,1261,433,1769,2900,0.61
270306,392,493,911,2712,0.335914454
270307,389,851,1279,3675,0.348027211
270308,531,428,1017,2325,0.437419355
4910309,679,195,919,1326,0.69306184
270309,422,67,504,791,0.637168142
4910310,818,203,1072,1749,0.61292167
270310,278,36,325,477,0.681341719
4910311,886,279,1233,1922,0.641519251
270311,1427,227,1716,2734,0.627651792
4910312,1692,544,2354,3791,0.620944342
270312,946,162,1160,1986,0.58408862
270313,1279,423,1781,2866,0.621423587
4910314,1020,858,1996,3381,0.590357882
270314,879,508,1460,3234,0.451453309
270315,2506,843,3493,5799,0.602345232
270317,3009,1059,4232,6553,0.645811079
4910330,1487,1048,2688,4131,0.650689906
4910331,1372,705,2215,3326,0.665965123
4910332,1649,774,2561,3553,0.720799325
4910333,1414,947,2524,3811,0.662293361
4910337,1722,1216,3069,4538,0.676289114
4910339,766,731,1579,2688,0.587425595
4910341,952,372,1380,2129,0.648191639
4910342,226,274,536,1209,0.443341605
4910343,2579,995,3757,5047,0.744402615
4910344,1453,562,2134,2777,0.768455167
4910345,,,,,#DIV/0!
4910368,861,822,1778,2773,0.641182834
4910369,1350,870,2358,3502,0.673329526
4910370,1876,882,2919,4761,0.61310649
4910371,1188,466,1736,2541,0.683195592
4910379,2441,723,3316,4660,0.711587983
4910381,1935,820,2830,3405,0.83113069
4910392,2388,808,3355,4491,0.747049655
4910393,,,,,#DIV/0!
4910394,3550,1452,5125,6027,0.850340136
4910395,1521,428,2049,2805,0.730481283
4910396,1955,838,2868,3560,0.805617978
270401,528,148,705,1271,0.554681353
4910402,1536,1247,2977,5064,0.587875197
270402,1128,364,1545,2446,0.6316435
4910403,780,593,1451,2421,0.599339116
270404,886,1172,2171,5553,0.390959842
270406,639,599,1294,3577,0.361755661
270408,1182,1572,2875,6832,0.420813817
270409,462,396,915,1653,0.55353902
270410,396,543,988,3480,0.283908046
4910413,244,100,359,559,0.642218247
4910415,815,277,1135,1794,0.632664437
4910420,1727,1158,3072,4755,0.646056782
4910423,989,1038,2168,3939,0.550393501
4910424,2824,1626,4680,6763,0.692000591
4910425,230,105,341,683,0.499267936
4910426,733,407,1214,1914,0.634273772
4910427,945,548,1555,2631,0.591030027
4910428,1139,524,1744,2680,0.650746269
4910429,304,426,761,1580,0.48164557
4910434,1475,351,1900,2889,0.657667013
4910436,411,81,510,803,0.635118306
4910455,584,749,1437,2690,0.534200743
4910456,401,453,879,1873,0.469300587
4910463,1156,1476,2815,5134,0.548305415
4910480,1349,1444,2970,4982,0.596146126
4910484,1628,1245,3042,4709,0.645997027
4910488,2138,1426,3734,5477,0.681760088
4910489,,,,,#DIV/0!
4910490,,,,,#DIV/0!
4910491,1557,1454,3187,5207,0.612060688
