PrecinctKey,Votes for Hegar,Votes for Carter,Total,Total Registered Voters,Margin,Hegar %,Carter %,Turnout
270101,1020,2678,3818,6653,-0.434258774,0.267155579,0.701414353,0.573876447
270102,520,1240,1802,3149,-0.399556049,0.288568257,0.688124306,0.572245157
270103,834,1632,2525,5685,-0.316039604,0.33029703,0.646336634,0.444151275
270104,1102,3170,4363,7510,-0.47398579,0.252578501,0.726564291,0.580958722
270105,146,716,873,1607,-0.652920962,0.167239404,0.820160367,0.543248289
270106,1387,671,2118,5941,0.338054769,0.654863078,0.31680831,0.356505639
270107,87,186,279,591,-0.35483871,0.311827957,0.666666667,0.472081218
270108,174,743,935,1599,-0.60855615,0.186096257,0.794652406,0.584740463
270109,578,375,982,3091,0.206720978,0.588594705,0.381873727,0.317696538
270110,171,175,361,2990,-0.011080332,0.473684211,0.484764543,0.120735786
270111,1067,1629,2758,5833,-0.203770848,0.386874547,0.590645395,0.472827019
270113,39,125,166,291,-0.518072289,0.234939759,0.753012048,0.570446735
4910119,1159,1008,2224,3821,0.067895683,0.521133094,0.45323741,0.582046585
4910122,976,885,1903,2798,0.047819233,0.512874409,0.465055176,0.680128663
4910135,1228,522,1787,3594,0.395075546,0.687185227,0.292109681,0.497217585
4910138,1354,1227,2636,4171,0.048179059,0.513657056,0.465477997,0.631982738
4910140,719,603,1342,1992,0.086438152,0.535767511,0.449329359,0.673694779
4910145,1047,484,1561,3234,0.36066624,0.670723895,0.310057655,0.482683983
4910146,2262,833,3148,5160,0.453939009,0.718551461,0.264612452,0.610077519
4910147,1519,579,2136,3786,0.440074906,0.711142322,0.271067416,0.564183835
4910149,835,468,1217,2570,0.301561216,0.686113394,0.384552177,0.473540856
4910150,891,447,1370,2817,0.324087591,0.650364964,0.326277372,0.486332978
4910151,1142,489,1664,2719,0.392427885,0.686298077,0.293870192,0.611989702
4910152,1073,392,1497,3058,0.45490982,0.716766867,0.261857047,0.489535644
4910160,1624,1104,2776,4656,0.187319885,0.585014409,0.397694524,0.596219931
4910162,1178,490,1706,3057,0.403282532,0.690504103,0.287221571,0.558063461
4910172,796,718,1538,2233,0.050715215,0.517555267,0.466840052,0.688759516
4910182,1281,1513,2832,4006,-0.081920904,0.452330508,0.534251412,0.706939591
4910185,748,335,1098,1666,0.376138434,0.681238616,0.305100182,0.659063625
4910186,1149,607,1790,2814,0.302793296,0.641899441,0.339106145,0.636105188
4910189,1302,649,1977,2987,0.330298432,0.658573596,0.328275164,0.661868095
4910190,1697,1607,3373,4895,0.026682479,0.503112956,0.476430477,0.68907048
4910197,1075,735,1840,2745,0.184782609,0.58423913,0.399456522,0.670309654
4910198,1570,1114,2740,4129,0.166423358,0.572992701,0.406569343,0.663598934
270201,747,752,1525,4046,-0.003278689,0.489836066,0.493114754,0.376915472
4910201,2159,1529,3745,5678,0.168224299,0.576502003,0.408277704,0.659563226
270202,1238,1785,3094,6863,-0.176793794,0.400129282,0.576923077,0.450823255
4910202,517,625,1151,1669,-0.093831451,0.449174631,0.543006082,0.689634512
270203,934,3507,4540,6757,-0.566740088,0.205726872,0.77246696,0.671895812
4910204,1702,1394,3156,5176,0.097591888,0.539290241,0.441698352,0.609737249
270204,547,413,986,3100,0.135902637,0.554766734,0.418864097,0.318064516
270205,1287,646,1980,5461,0.323737374,0.65,0.326262626,0.362570958
4910206,510,1445,1995,3329,-0.468671679,0.255639098,0.724310777,0.599279063
270206,537,327,888,2015,0.236486487,0.60472973,0.368243243,0.440694789
4910207,798,2141,3002,4940,-0.447368421,0.265822785,0.713191206,0.607692308
270207,949,415,1416,4176,0.377118644,0.67019774,0.293079096,0.33908046
270208,2020,956,3040,7132,0.35,0.664473684,0.314473684,0.426247897
270209,2004,1683,3756,7997,0.085463259,0.533546326,0.448083067,0.469676129
270210,1702,1049,2816,6312,0.231889205,0.604403409,0.372514205,0.446134347
4910216,857,721,1639,2543,0.082977425,0.522879805,0.439902379,0.644514353
4910218,1240,723,1997,3233,0.258888333,0.620931397,0.362043065,0.617692546
4910253,1198,1437,2699,4736,-0.088551315,0.443868099,0.532419415,0.569890203
4910254,1087,1024,2167,3679,0.02907245,0.501615136,0.472542686,0.589018755
4910259,1264,1318,2639,4448,-0.020462296,0.478969307,0.499431603,0.59330036
4910263,1296,1317,2671,4442,-0.007862224,0.485211531,0.493073755,0.601305718
4910264,1267,1475,2806,4984,-0.074126871,0.451532431,0.525659301,0.563001605
4910266,1496,1103,2652,4565,0.148190045,0.564102564,0.415912519,0.58094195
4910267,1111,1611,2796,4447,-0.178826896,0.397353362,0.576180258,0.628738475
4910273,1086,771,1906,2952,0.165267576,0.569779643,0.404512067,0.645663957
4910274,2348,932,3356,6063,0.42193087,0.699642431,0.277711561,0.553521359
4910275,1163,504,1698,3129,0.388103651,0.684923439,0.296819788,0.542665388
4910277,1708,1640,3429,5236,0.019830854,0.498104404,0.478273549,0.654889228
4910278,1717,1349,3127,5021,0.117684682,0.549088583,0.431403902,0.622784306
4910283,1563,1272,2909,5145,0.100034376,0.537298041,0.437263664,0.565403304
4910287,1576,1429,3077,5054,0.047773806,0.512187195,0.46441339,0.608824693
270301,346,1589,1972,3683,-0.630324544,0.175456389,0.805780933,0.535433071
270302,529,868,2119,4382,-0.159981123,0.249646059,0.409627183,0.483569147
270303,1093,1205,2346,4969,-0.047740835,0.465899403,0.513640239,0.472127189
270304,113,319,438,786,-0.470319635,0.257990868,0.728310502,0.557251908
4910305,644,1549,2217,3104,-0.408209292,0.290482634,0.698691926,0.714239691
270305,527,1071,1623,2876,-0.335181762,0.324707332,0.659889094,0.564325452
270306,536,346,906,2806,0.209713024,0.591611479,0.381898455,0.322879544
270307,783,267,1068,3548,0.483146067,0.733146067,0.25,0.301014656
270308,480,430,940,2499,0.053191489,0.510638298,0.457446809,0.37615046
4910309,243,650,904,1436,-0.450221239,0.26880531,0.719026549,0.629526462
270309,68,403,474,798,-0.706751055,0.143459916,0.85021097,0.593984962
4910310,266,693,979,1799,-0.436159346,0.271705822,0.707865169,0.544191217
270310,44,260,308,496,-0.701298701,0.142857143,0.844155844,0.620967742
4910311,358,799,1190,2034,-0.370588235,0.300840336,0.671428571,0.585054081
270311,308,1331,1670,2840,-0.61257485,0.184431138,0.797005988,0.588028169
4910312,832,1580,2465,4626,-0.303448276,0.337525355,0.640973631,0.53285776
270312,180,821,1013,2017,-0.632773939,0.17769003,0.810463968,0.502231036
270313,495,1166,1691,2813,-0.396806623,0.292726198,0.689532821,0.601137576
4910314,1122,782,1961,3480,0.173380928,0.572157063,0.398776135,0.563505747
270314,587,697,1313,3262,-0.083777609,0.447067784,0.530845392,0.402513795
270315,1264,2160,3511,6699,-0.255197949,0.360011393,0.615209342,0.524108076
270317,1374,2771,4211,7172,-0.331750178,0.326288293,0.658038471,0.587144451
4910330,1319,1138,2512,4200,0.07205414,0.525079618,0.453025478,0.598095238
4910331,1154,1239,2427,3861,-0.035022662,0.475484137,0.510506799,0.628593629
4910332,1216,1438,2706,4111,-0.082039911,0.449371766,0.531411678,0.658234006
4910333,1244,1150,2444,3905,0.038461538,0.509001637,0.470540098,0.625864277
4910337,1589,1399,3023,4900,0.062851472,0.525636785,0.462785313,0.616938776
4910339,1037,621,1692,3085,0.245862884,0.612884161,0.367021277,0.548460292
4910341,484,792,1299,2099,-0.237105466,0.372594303,0.609699769,0.618866127
4910342,331,175,516,1220,0.302325581,0.641472868,0.339147287,0.42295082
4910343,1149,1617,2835,4005,-0.165079365,0.405291005,0.57037037,0.707865169
4910344,916,1848,2809,3715,-0.331790673,0.326094696,0.657885368,0.756123822
4910345,537,1240,1817,2465,-0.386901486,0.295542102,0.682443588,0.737119675
4910368,1206,962,2209,3793,0.110457221,0.545948393,0.435491172,0.582388611
4910369,1405,1468,2922,4515,-0.021560575,0.480835044,0.502395619,0.64717608
4910370,1155,1631,2847,5034,-0.167193537,0.4056902,0.572883737,0.565554231
4910371,588,1041,1652,2566,-0.274213075,0.355932203,0.630145278,0.643803585
4910379,1034,2184,3274,4826,-0.351252291,0.315821625,0.667073916,0.67840862
4910381,1008,1727,2761,3303,-0.260412894,0.365085114,0.625498008,0.835906751
4910392,1230,2391,3690,5107,-0.314634146,0.333333333,0.64796748,0.722537693
4910393,604,1278,1897,2316,-0.355297839,0.31839747,0.673695308,0.819084629
4910394,1181,2184,3391,3881,-0.295782955,0.348274845,0.6440578,0.87374388
4910395,651,1608,2301,3244,-0.415906128,0.282920469,0.698826597,0.709309494
4910396,1209,2102,3340,4051,-0.26736527,0.361976048,0.629341317,0.824487781
270401,181,492,689,1296,-0.45137881,0.262699565,0.714078374,0.531635802
4910402,1790,1270,3137,5660,0.165763468,0.570608862,0.404845394,0.554240283
270402,467,978,1474,2510,-0.346675712,0.316824966,0.663500678,0.587250996
4910403,803,635,1476,2766,0.113821138,0.54403794,0.430216802,0.53362256
270404,1271,609,1925,5490,0.343896104,0.66025974,0.316363636,0.350637523
270406,560,488,1073,3528,0.067101584,0.521901212,0.454799627,0.304138322
270408,1630,863,2557,7247,0.299960892,0.63746578,0.337504889,0.352835656
270409,469,436,923,1855,0.035752979,0.508125677,0.472372698,0.497574124
270410,470,242,731,3545,0.311901505,0.642954856,0.331053352,0.206205924
4910413,132,213,352,591,-0.230113636,0.375,0.605113636,0.595600677
4910415,337,712,1071,1849,-0.350140056,0.314659197,0.664799253,0.579232017
4910420,2069,1744,3869,6529,0.084001034,0.534763505,0.450762471,0.59258692
4910423,1195,783,2022,4011,0.203758655,0.590999011,0.387240356,0.504113687
4910424,1151,1489,2676,3894,-0.126307922,0.430119581,0.556427504,0.687211094
4910425,135,218,357,696,-0.232492997,0.378151261,0.610644258,0.512931034
4910426,550,635,1215,2011,-0.069958848,0.452674897,0.522633745,0.604177026
4910427,663,811,1493,2680,-0.09912927,0.444072338,0.543201608,0.557089552
4910428,743,965,1733,2938,-0.128101558,0.428736295,0.556837853,0.589857046
4910429,535,259,815,1738,0.338650307,0.656441718,0.317791411,0.468929804
4910434,459,1408,1891,3107,-0.501850873,0.242728715,0.744579588,0.608625684
4910436,138,340,487,839,-0.414784394,0.283367556,0.698151951,0.58045292
4910455,944,438,1411,2758,0.358610914,0.669029057,0.310418143,0.511602611
4910456,478,341,829,1889,0.165259349,0.576598311,0.411338963,0.438856538
4910463,2012,992,3063,5850,0.333006856,0.656872347,0.323865491,0.523589744
4910480,1974,1066,3102,5440,0.292714378,0.636363636,0.343649259,0.570220588
4910484,1958,1456,3487,5698,0.143963292,0.561514196,0.417550903,0.611969112
4910488,938,882,1849,2773,0.030286641,0.507301244,0.477014602,0.666786873
4910489,1654,1338,3040,4782,0.103947368,0.544078947,0.440131579,0.635717273
4910490,635,552,1212,2114,0.068481848,0.523927393,0.455445545,0.573320719
4910491,1844,1246,3150,5477,0.18984127,0.585396825,0.395555556,0.575132372
