PrecinctKey,Votes for Cruz,Votes for ORourke,Total,Total Registered Voters,Margin,Beto %
270101,2702,1063,3818,6653,-0.429282347,0.27841802
270102,1256,521,1802,3149,-0.407880133,0.289123196
270103,1669,827,2525,5685,-0.333465347,0.327524752
270104,3192,1119,4363,7510,-0.47513179,0.256474903
270105,720,141,873,1607,-0.663230241,0.161512027
270106,683,1407,2118,5941,0.341831917,0.664305949
270107,184,91,279,591,-0.333333333,0.326164875
270108,767,159,935,1599,-0.65026738,0.170053476
270109,381,581,982,3091,0.203665988,0.591649695
270110,182,175,361,2990,-0.019390582,0.484764543
270111,1660,1067,2758,5833,-0.215010877,0.386874547
270113,125,38,166,291,-0.524096386,0.228915663
4910119,1002,1206,2241,3821,0.09103079,0.53815261
4910122,861,1038,1918,2798,0.092283629,0.541188738
4910135,516,1291,1822,3594,0.425356751,0.70856202
4910138,1215,1406,2647,4171,0.072157159,0.531167359
4910140,593,740,1347,1992,0.109131403,0.549368968
4910145,478,1083,1578,3234,0.383396705,0.686311787
4910146,804,2329,3182,5160,0.479258328,0.731929604
4910147,562,1587,2167,3786,0.473004153,0.732348869
4910149,456,871,1337,2570,0.31039641,0.651458489
4910150,434,929,1382,2817,0.358176556,0.672214182
4910151,477,1196,1690,2719,0.425443787,0.707692308
4910152,397,1095,1511,3058,0.461945731,0.724685639
4910160,1081,1676,2799,4656,0.21257592,0.59878528
4910162,490,1223,1728,3057,0.424189815,0.70775463
4910172,686,838,1549,2233,0.098127824,0.54099419
4910182,1484,1332,2843,4006,-0.05346465,0.46851917
4910185,335,757,1108,1666,0.380866426,0.683212996
4910186,573,1199,1796,2814,0.348552339,0.667594655
4910189,643,1320,1989,2987,0.340372046,0.663650075
4910190,1583,1757,3385,4895,0.05140325,0.519054653
4910197,723,1114,1856,2745,0.210668103,0.600215517
4910198,1097,1625,2763,4129,0.191096634,0.588128845
270201,760,750,1525,4046,-0.006557377,0.491803279
4910201,1491,2246,3767,5678,0.200424741,0.596230422
270202,1790,1258,3094,6863,-0.171945701,0.406593407
4910202,624,524,1158,1669,-0.086355786,0.452504318
270203,3559,941,4540,6757,-0.576651982,0.207268722
4910204,1352,1788,3178,5176,0.137193203,0.562617999
270204,413,557,986,3100,0.146044625,0.564908722
270205,639,1302,1980,5461,0.334848485,0.657575758
4910206,1465,522,2013,3329,-0.468455042,0.259314456
270206,316,562,888,2015,0.277027027,0.632882883
4910207,2172,799,3020,4940,-0.454635762,0.264569536
270207,413,971,1416,4176,0.394067797,0.685734463
270208,953,2039,3040,7132,0.357236842,0.670723684
270209,1691,2015,3756,7997,0.086261981,0.536474973
270210,1044,1734,2816,6312,0.245028409,0.615767045
4910216,726,892,1647,2543,0.100789314,0.541590771
4910218,716,1275,2012,3233,0.277833002,0.633697813
4910253,1445,1227,2714,4736,-0.080324245,0.452100221
4910254,1039,1111,2186,3679,0.032936871,0.508234218
4910259,1315,1300,2658,4448,-0.005643341,0.489089541
4910263,1336,1324,2699,4442,-0.004446091,0.490552056
4910264,1484,1291,2822,4984,-0.068391212,0.457476967
4910266,1097,1560,2687,4565,0.172311128,0.58057313
4910267,1653,1127,2823,4447,-0.186326603,0.399220687
4910273,760,1139,1924,2952,0.196985447,0.591995842
4910274,927,2446,3407,6063,0.445846786,0.717933666
4910275,492,1201,1723,3129,0.411491584,0.697040046
4910277,1630,1772,3452,5236,0.041135574,0.513325608
4910278,1359,1747,3146,5021,0.123331214,0.555308328
4910283,1289,1599,2937,5145,0.105549881,0.544433095
4910287,1448,1609,3102,5054,0.051901999,0.518697614
270301,1626,326,1972,3683,-0.659229209,0.165314402
270302,1245,856,2119,4382,-0.183577159,0.403964134
