PrecinctKey,City
270101,
270102,
270103,
270104,
270105,
270106,Killeen
270107,
270108,
270109,Killeen
270110,
270111,Harker Heights
270113,
270201,Harker Heights
270202,Harker Heights
270203,
270204,Killeen
270205,Killeen
270206,Killeen
270207,Killeen
270208,Killeen
270209,Harker Heights
270210,Harker Heights
270301,
270302,Temple
270303,Temple
270304,Temple
270305,Temple
270306,Temple
270307,Temple
270308,Temple
270309,
270310,
270311,
270312,
270313,Temple
270314,Temple
270315,Temple
270317,
270401,
270402,
270404,Killeen
270406,Killeen
270408,Killeen
270409,Killeen
270410,Killeen
4910119,Round Rock
4910122,Austin
4910135,Round Rock
4910138,Austin
4910140,
4910145,Round Rock
4910146,Austin
4910147,Austin
4910149,Round Rock
4910150,Round Rock
4910151,Austin
4910152,Austin
4910160,
4910162,Austin
4910172,Round Rock
4910182,Round Rock
4910185,Austin
4910186,
4910189,Austin
4910190,Austin
4910197,Austin
4910198,
4910201,Cedar Park
4910202,Cedar Park
4910204,Cedar Park
4910206,Leander
4910207,
4910216,Austin
4910218,Austin
4910253,Leander
4910254,Cedar Park
4910259,Leander
4910263,Leander
4910264,Leander
4910266,Cedar Park
4910267,Leander
4910273,Austin
4910274,Austin
4910275,Austin
4910277,Cedar Park
4910278,Cedar Park
4910283,Cedar Park
4910287,Cedar Park
4910305,Georgetown
4910309,
4910310,
4910311,
4910312,
4910314,Georgetown
4910330,Leander
4910331,Leander
4910332,Leander
4910333,Round Rock
4910337,
4910339,Round Rock
4910341,Georgetown
4910342,Georgetown
4910343,Georgetown
4910344,Georgetown
4910345,Leander
4910368,Georgetown
4910369,Georgetown
4910370,Georgetown
4910371,Georgetown
4910379,Georgetown
4910381,Sun City
4910392,Georgetown
4910393,Sun City
4910394,Sun City
4910395,Georgetown
4910396,Sun City
4910402,Hutto
4910403,Hutto
4910413,
4910415,
4910420,Hutto
4910423,Round Rock
4910424,Round Rock
4910425,
4910426,Hutto
4910427,Taylor
4910428,Taylor
4910429,Taylor
4910434,
4910436,Taylor
4910455,Round Rock
4910456,Taylor
4910463,Round Rock
4910480,Round Rock
4910484,Round Rock
4910488,Round Rock
4910489,Round Rock
4910490,Hutto
4910491,Round Rock
